#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.32,0.00
1,1000,8.40,0.12
2,1000,8.43,0.24
4,1000,8.40,0.48
8,1000,8.43,0.95
16,1000,8.42,1.90
32,1000,8.43,3.80
64,1000,8.46,7.56
128,1000,8.85,14.47
256,1000,8.84,28.97
512,1000,8.85,57.84
1024,1000,9.80,104.52
2048,1000,9.39,218.10
4096,1000,11.09,369.21
8192,1000,11.89,689.10
16384,1000,15.74,1041.10
32768,1000,26.41,1240.90
65536,640,57.57,1138.29
131072,320,78.79,1663.48
262144,160,112.51,2330.00
524288,80,174.33,3007.40
1048576,40,309.60,3386.92
2097152,20,606.26,3459.15
4194304,10,1237.28,3389.94
